title,published_at,duration,view_count,like_count,comment_count,year
aisa kon javab deta he😂😜  #shorts #funnyvideo #youtubeshorts #viral #short #trending,29-08-2022,PT60S,49735159,3295819,2361.00,2022
MAJBOOR 😅|| KUNAL MANDLOI || KAJAL SONI || CONTANT | #shorts #shortsvideo #kunqlsquad @kajalsoni,31-08-2022,PT44S,31034820,1266641,520.00,2022
Industry Baby - New Shorts Videos | Reaction Videos | New TikTok Videos | Insta Reels Videos #shorts,02-09-2022,PT20S,59103715,1440600,1644.00,2022
Sandwich with horseradish by Tsuriki Show #shorts,07-09-2022,PT56S,12961416,675769,168.00,2022
My First and Last day at the Gym 😩… #shorts,10-09-2022,PT49S,3608222,244583,5335.00,2022
"Tool Items!😍New Viral Gadgets, Smart Appliances, Kitchen Utensils/Home Inventions #shorts #gadgets",12-09-2022,PT10S,102707129,1098462,819.00,2022
SIAPA YANG SERING LAPER MALEM MALEM?! 😭🙏 AKU!!! #shorts #laperbener #makan  #bihun,12-09-2022,PT60S,6016614,318823,4398.00,2022
Father vs son part -2 nanna prema ❤️❤️ #youtubeshorts #shorts #prashubaby,17-09-2022,PT60S,41271780,2764166,6138.00,2022
XIN ĐỂU #Shorts,20-09-2022,PT60S,17024827,510429,3326.00,2022
XIN ĐỂU #Shorts,20-09-2022,PT60S,17024827,510429,3326.00,2022
Nutella Bucket Chocolate Ice Cream,28-09-2022,PT21S,27755251,773620,0.00,2022
इतना सारा काम! 😂🥵 | Kaamwali Bai - Part 36 #Shorts #Shortsbreak #takeabreak,02-10-2022,PT60S,210192264,8993640,6324.00,2022
Women 🤣😂 #shorts #funny,05-10-2022,PT43S,33649685,1991087,1482.00,2022
Boys life 😢 #shorts #funny,08-10-2022,PT19S,86848820,3023520,4158.00,2022
Sisters का Battle! 😆 | Badi Behen Choti Behen - Part 19 | #Shorts | Shorts Break,08-10-2022,PT60S,55626551,3490644,3124.00,2022
QUE HAY EN MI BOLSO CON MI HERMANA KAREN 👛😨 #shorts,09-10-2022,PT60S,5704657,389718,2310.00,2022
Willy Wonka's son has a girlfriend (not for kids) #shorts,11-10-2022,PT48S,4589999,307104,1881.00,2022
Prashant Vs. Sheela Didi 😂⚔️ | Kaamwali Bai - Part 38 | #Shorts | Shorts Break,15-10-2022,PT60S,82110997,4764508,2289.00,2022
SCHOOL-TRIP BAG🎒 CHALLENGE!!! 😍💫 #shorts #youtubeshorts,15-10-2022,PT60S,37342760,1581765,41491.00,2022
SCHOOL-TRIP BAG🎒 CHALLENGE!!! 😍💫 #shorts #youtubeshorts,15-10-2022,PT60S,37342760,1581765,41491.00,2022
hombres vs mujeres broma del fantasma xd #shorts #xd #nose #humor,16-10-2022,PT57S,15958216,1145682,26043.00,2022
Bhai behen ka pyaar😂❤️|| Gulshan kalra #shorts #punjabijachde #kulchechole #dilrajgrewal,20-10-2022,PT60S,48908976,3764728,1793.00,2022
Aiyoyo😳🫣 wait for the twist😂💯 Share wid ur mom😍😂 #shorts #imsubu #diwali,20-10-2022,PT60S,20716960,938522,608.00,2022
World's Shortest Woman #345,21-10-2022,PT60S,153771927,5048631,32668.00,2022
Goodland | Banana cut 🍌 #goodland #shorts #doodles #banana,26-10-2022,PT28S,275566616,4768180,3082.00,2022
‼️NEW FRUITS CHALLENGE ‼️ #shorts,28-10-2022,PT36S,43255817,1158798,564.00,2022
GTA 5 Epic Water Ragdolls | Spider-Man Jumps / Fails ep.106 #shorts,28-10-2022,PT55S,140331233,2590512,837.00,2022
#shorts #öğretmen #teacher #okulöncesi  #eğitim #ingilizce #learning #teaching #youtubeshorts,30-10-2022,PT34S,11635247,299813,2977.00,2022
kesa Choona Lagaya 😂😂 Fries Kisko Pasand hain ?😂 Salman Noman❤️ #shorts,02-11-2022,PT60S,30031636,2132948,1346.00,2022
3 Colored Challenge🌈 #shorts What is better?,04-11-2022,PT58S,191193704,0,0.00,2022
bajare da sita #shorts,05-11-2022,PT15S,113845166,1513097,0.00,2022
MAKING SLIME 🍡 AT 1 RUPEES BOOMER - #shorts #slime #fish #trending,06-11-2022,PT59S,15766785,726144,16830.00,2022
When You Go To The Mall With Your Mom #Shorts,09-11-2022,PT42S,11980399,606385,4641.00,2022
When You Go To The Mall With Your Mom #Shorts,09-11-2022,PT42S,11980399,606385,4641.00,2022
मेरे नए Shoes 😁 | Badi Behen Choti Behen - Part 22 | #Shorts | Shorts Break,15-11-2022,PT51S,45543177,2761954,1443.00,2022
